,样本id,A5,A6,A7,A8,A9,A10,A11,A12,A14,A15,A16,A17,A19,A20,A21,A22,A24,A25,A26,A27,A28,B1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B14,A1,A3,A4,b14/a1_a3_a4_a19_b1_b12
0,1528,13.5,38.0,-1.0,-1.0,15.5,100,16.5,102.0,17.5,103.0,18.5,104.0,300,0.5,50.0,9.0,22.0,75,22.5,70.0,0.5,350.0,1.0,8.0,65,11.5,45.0,1.5,1.5,-1.0,800.0,400,300,405.0,700,0.14010507880910683
1,1698,14.0,29.0,-1.0,-1.0,16.0,101,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80,21.0,73.0,1.0,320.0,1.0,23.0,80,6.0,45.0,1.5,1.5,1.0,1200.0,400,300,405.0,700,0.128
2,639,14.0,29.0,-1.0,-1.0,16.0,102,17.0,103.0,18.0,104.0,19.0,105.0,200,0.5,50.0,9.0,20.0,79,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,400,300,405.0,700,0.128
3,483,1.5,38.0,-1.0,-1.0,3.0,100,4.0,102.0,5.0,103.0,6.0,104.0,200,0.5,50.0,10.0,7.5,70,8.0,78.0,1.0,290.0,1.0,15.5,65,18.0,45.0,1.5,1.5,-1.0,800.0,400,300,405.0,700,0.14842300556586271
4,617,22.0,29.0,-1.0,-1.0,0.0,101,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,80,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,420,300,405.0,700,0.1344
5,373,2.0,39.0,2.5,80.0,3.5,100,4.5,103.0,5.5,104.0,6.5,102.0,300,0.5,50.0,9.0,12.0,70,12.5,75.0,0.5,-1.0,2.0,20.0,65,3.0,45.0,1.5,1.5,-1.0,800.0,420,300,405.0,700,0.16773162939297126
6,577,8.0,29.0,-1.0,-1.0,10.0,101,11.0,103.0,12.0,104.0,13.0,105.0,200,1.0,50.0,9.0,14.0,80,15.0,73.0,1.0,320.0,1.0,17.0,80,19.0,45.0,1.5,1.5,1.0,1200.0,400,300,405.0,700,0.128
7,212,6.0,29.0,-1.0,-1.0,8.0,101,9.0,102.0,10.0,103.0,11.0,103.0,200,1.0,50.0,9.0,12.0,78,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,400,300,405.0,700,0.128
8,521,17.5,21.0,-1.0,-1.0,19.0,100,20.0,101.0,21.0,102.0,22.0,105.0,300,0.5,50.0,9.0,23.5,70,0.0,78.0,1.0,340.0,1.5,4.5,65,6.5,45.0,1.5,1.5,-1.0,800.0,420,300,405.0,700,0.14762741652021089
9,1026,11.0,21.0,-1.0,-1.0,12.5,100,13.5,102.0,14.5,103.0,15.5,105.0,200,0.5,50.0,9.0,17.0,70,17.5,78.0,1.0,280.0,1.0,0.0,64,2.0,50.0,1.5,1.5,-1.0,800.0,400,300,405.0,700,0.148975791433892
