,样本id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,收率
832,1.0,300,,405.0,700,6:30:00,25.0,,,8:00:00,100,9:00:00,103,0.2,10:00:00,104.0,11:00:00,105.0,0.2,300,15:00-15:30,40.0,9.0,5.0,15:30:00,70,16:00:00,78,0:00-1:00,320.0,3.5,3.5,1:00-2:30,2:30:00,60,4:30:00,40.0,8:00-9:30,10:00-11:30,,800.0,0.15,400,0.9
865,4.0,300,,405.0,700,14:00:00,24.0,,,15:30:00,100,16:30:00,102,0.2,17:30:00,102.0,18:30:00,102.0,0.2,300,18:30-19:00,40.0,10.0,5.0,19:00:00,70,19:30:00,78,4:00-5:30,300.0,3.5,3.5,5:30-6:30,6:30:00,60,12:00:00,40.0,12:00-13:30,14:30-15:00,,800.0,0.15,400,0.8959999999999999
909,8.0,300,,405.0,700,3:30:00,21.0,,,5:00:00,100,6:00:00,102,0.2,7:00:00,103.0,8:00:00,105.0,0.2,300,11:30-12:00,40.0,9.0,5.0,12:00:00,70,12:30:00,78,19:00-20:00,310.0,3.5,3.5,20:00-21:0,21:00:00,58,0:30:00,40.0,1:00-2:30,3:00-4:30,,800.0,0.15,420,0.93
198,9.0,300,,405.0,700,15:00:00,21.0,,,16:00:00,100,17:00:00,102,0.2,18:00:00,103.0,19:00:00,104.0,0.2,300,20:30-21:00,40.0,9.0,5.0,21:00:00,71,21:30:00,78,3:30-4:30,310.0,3.5,3.5,4:30-6:00,6:00:00,59,12:00:00,40.0,12:00-13:30,14:00-15:00,,800.0,0.15,420,0.935
332,11.0,300,,405.0,700,6:00:00,20.0,,,7:30:00,100,8:30:00,102,0.2,9:30:00,102.0,10:30:00,102.0,0.2,300,10:30-11:0,40.0,10.0,5.0,11:30:00,70,12:00:00,78,23:00-0:0,310.0,3.5,3.5,0:00-1:00,1:00:00,60,3:30:00,40.0,8:00-9:30,10:00-11:30,,800.0,0.15,420,0.9229999999999999
1230,12.0,300,,405.0,700,15:00:00,24.0,,,16:30:00,100,17:30:00,102,0.2,18:30:00,102.0,19:30:00,102.0,0.2,300,0:00-0:30,30.0,9.0,5.0,0:30:00,70,1:00:00,78,10:40-11:40,310.0,3.5,3.5,12:30-14:00,,60,16:30:00,40.0,16:30-18:00,18:00-19:30,,800.0,0.15,420,0.9229999999999999
643,13.0,300,,405.0,700,3:30:00,21.0,,,5:00:00,100,6:00:00,102,0.2,7:00:00,103.0,8:00:00,104.0,0.2,300,11:50-12:20,30.0,9.0,5.0,12:20:00,71,13:20:00,78,18:00-19:00,300.0,3.5,3.5,19:00-20:30,20:30:00,60,0:00:00,40.0,3:00-4:30,5:00-6:30,,800.0,0.15,420,0.9229999999999999
119,14.0,300,,405.0,700,13:00:00,23.0,,,14:30:00,100,15:30:00,103,0.2,16:30:00,103.0,17:30:00,104.0,0.2,300,14:00-14:30,40.0,10.0,5.0,19:30:00,70,20:00:00,78,5:00-6:0,300.0,3.5,3.5,6:00-7:30,7:30:00,65,10:00:00,40.0,12:00-14:30,14:30-16:00,,800.0,0.15,420,0.9229999999999999
380,16.0,300,,405.0,700,7:00:00,24.0,,,8:00:00,100,9:00:00,102,0.2,10:00:00,103.0,11:00:00,104.0,0.2,300,16:00-16:30,40.0,9.0,5.0,16:30:00,70,17:00:00,78,23:00-0:30,310.0,3.5,3.5,0:30-2:00,2:00:00,65,8:00:00,40.0,8:00-9:30,10:00-11:30,,800.0,0.15,420,0.9229999999999999
55,17.0,300,,405.0,700,19:00:00,23.0,,,20:30:00,100,21:30:00,102,0.2,22:30:00,102.0,23:30:00,103.0,0.2,300,1:00-1:30,50.0,9.0,5.0,1:30:00,70,2:00:00,77,10:00-11:00,300.0,3.5,3.5,11:00-12:00,12:00:00,60,16:00:00,40.0,16:00-17:30,18:00-19:30,,800.0,0.15,400,0.879
619,21.0,300,,405.0,700,8:30:00,24.0,,,9:00:00,100,10:00:00,103,0.2,11:00:00,103.0,12:00:00,103.0,0.2,300,15:30-16:00,35.0,9.0,5.0,16:00:00,71,16:30:00,79,23:00-0:00,300.0,3.5,3.5,0:00-1:30,1:30:00,60,4:00:00,40.0,8:30-10:00,10:30-12:00,,800.0,0.15,400,0.8909999999999999
725,22.0,300,,405.0,700,17:00:00,24.0,,,18:30:00,100,19:30:00,102,0.2,20:30:00,101.0,21:30:00,104.0,0.2,300,0:30-1:00,50.0,10.0,5.0,1:00:00,70,1:30:00,78,11:00-12:00,300.0,3.5,3.5,12:00-13:00,13:00:00,60,16:00:00,40.0,16:30-18:00,18:30-20:00,,800.0,0.15,400,0.879
1254,24.0,300,,405.0,700,14:00:00,21.0,,,15:30:00,100,16:30:00,102,0.2,17:30:00,103.0,18:30:00,104.0,0.2,300,19:30-20:00,35.0,9.0,5.0,20:00:00,70,20:30:00,78,5:30-6:30,310.0,3.5,3.5,6:30-8:00,8:00:00,65,12:00:00,40.0,12:00-13:30,14:00-15:30,,800.0,0.15,400,0.879
1147,25.0,300,,405.0,700,22:00:00,22.0,,,23:30:00,100,12:30:00,102,0.2,1:30:00,102.0,2:30:00,103.0,0.2,300,6:30-7:00,35.0,9.0,5.0,7:00:00,70,7:30:00,78,14:00-15:00,300.0,3.5,3.5,15:00-16:30,16:30:00,60,19:30:00,40.0,20:30-22:30,23:30-1:00,,800.0,0.15,400,0.8909999999999999
1181,26.0,300,,405.0,700,8:00:00,21.0,,,9:30:00,100,10:30:00,102,0.2,11:30:00,102.0,12:30:00,103.0,0.2,300,15:30-16:30,50.0,10.0,5.0,16:30:00,70,17:00:00,78,0:00-1:00,300.0,3.5,3.5,1:00-2:00,2:00:00,60,5:00:00,40.0,8:00-9:30,10:30-12:00,,800.0,0.15,420,0.9229999999999999
857,27.0,300,,405.0,700,16:30:00,20.0,,,17:30:00,100,18:30:00,102,0.2,19:30:00,103.0,20:30:00,104.0,0.2,300,1:00-1:30,40.0,9.0,5.0,1:30:00,70,2:00:00,78,10:30-11:30,310.0,3.5,3.5,11:30-13:00,13:00:00,80,17:00:00,40.0,17:00-18:30,19:00-20:30,,800.0,0.15,420,0.9229999999999999
1333,29.0,300,,405.0,700,14:00:00,22.0,,,15:30:00,100,16:30:00,103,0.2,17:30:00,103.0,18:30:00,103.0,0.2,300,20:30-21:00,50.0,10.0,5.0,21:00:00,70,21:30:00,78,5:30-6:30,300.0,3.5,3.5,6:30-7:30,7:30:00,60,11:00:00,40.0,12:30-14:00,14:30-16:00,,800.0,0.15,400,0.8909999999999999
139,30.0,300,,405.0,700,23:00:00,24.0,,,0:00:00,100,1:00:00,101,0.2,2:00:00,105.0,3:00:00,105.0,0.2,300,6:30-7:00,50.0,10.0,5.0,7:00:00,70,7:30:00,78,14:30-15:30,300.0,3.5,3.5,15:30-16:30,16:30:00,60,19:00:00,40.0,21:00-22:30,23:00-0:30,,800.0,0.15,420,0.9229999999999999
1226,33.0,300,,405.0,700,3:30:00,24.0,,,5:00:00,100,6:00:00,102,0.2,7:00:00,103.0,8:00:00,103.0,0.2,300,12:00-12:30,50.0,10.0,5.0,12:30:00,70,13:00:00,78,18:00-19:00,300.0,3.5,3.5,19:00-20:30,20:30:00,60,22:30:00,40.0,1:00-2:30,3:30-6:00,,800.0,0.15,420,0.9229999999999999
1093,34.0,300,,405.0,700,14:30:00,22.0,,,15:30:00,100,16:30:00,104,0.2,17:30:00,106.0,18:30:00,105.0,0.2,300,19:00-19:30,40.0,9.0,5.0,19:30:00,70,20:00:00,78,4:00-5:00,300.0,3.5,3.5,5:00-6:00,6:00:00,60,12:00:00,40.0,12:30-14:00,14:30-16:00,,800.0,0.15,440,0.9670000000000001
140,36.0,300,,405.0,700,7:00:00,21.0,,,8:20:00,100,9:20:00,103,0.2,10:20:00,103.0,11:20:00,103.0,0.2,300,16:00-16:30,40.0,9.0,5.0,16:30:00,70,17:00:00,78,1:30-2:30,300.0,3.5,3.5,2:30-4:00,4:00:00,60,8:00:00,40.0,8:00-9:30,10:30-12:00,,800.0,0.15,420,0.935
1089,37.0,300,,405.0,700,17:30:00,24.0,,,19:00:00,100,20:00:00,102,0.2,21:00:00,102.0,22:00:00,102.0,0.2,300,3:00-3:30,50.0,10.0,5.0,3:30:00,70,4:00:00,78,11:00-12:00,310.0,3.5,3.5,12:00-13:30,13:30:00,60,16:00:00,40.0,16:30-18:00,18:30-20:00,,800.0,0.15,400,0.8909999999999999
465,39.0,300,,405.0,700,14:00:00,21.0,,,15:00:00,100,16:00:00,102,0.2,17:30:00,103.0,18:00:00,102.0,0.2,300,20:00-20:30,40.0,9.0,5.0,20:30:00,70,21:00:00,78,4:00-5:00,310.0,3.5,3.5,5:30-6:30,6:30:00,65,12:00:00,40.0,12:00-13:30,14:00-15:30,,800.0,0.15,440,0.9797
182,41.0,300,,405.0,700,7:00:00,23.0,,,8:00:00,100,9:00:00,103,0.2,10:00:00,103.0,11:00:00,103.0,0.2,300,16:00-16:30,50.0,10.0,5.0,16:30:00,70,17:00:00,78,0:00-1:00,310.0,3.5,3.5,1:00-2:30,2:30:00,60,6:30:00,40.0,8:00-9:30,10:30-11:00,,800.0,0.15,440,0.9670000000000001
1161,42.0,300,,405.0,700,17:30:00,22.0,,,18:30:00,100,19:30:00,102,0.2,20:30:00,104.0,21:30:00,104.0,0.2,300,1:00-1:30,50.0,9.0,5.0,1:30:00,70,2:00:00,78,10:10-11:10,310.0,3.5,3.5,11:00-12:30,12:30:00,60,17:00:00,40.0,17:00-18:30,19:00-20:30,,800.0,0.15,400,0.902
77,43.0,300,,405.0,700,3:30:00,21.0,,,4:30:00,100,5:30:00,102,0.2,6:30:00,103.0,7:30:00,104.0,0.2,300,11:00-11:30,40.0,9.0,5.0,11:30:00,70,12:00:00,78,19:00-20:00,300.0,3.5,3.5,20:00-21:30,21:30:00,60,2:00:00,40.0,3:00-4:30,5:00-6:30,,800.0,0.15,400,0.902
1040,44.0,300,,405.0,700,13:30:00,23.0,,,15:00:00,100,16:00:00,102,0.2,17:00:00,102.0,18:00:00,103.0,0.2,300,20:00-21:30,50.0,10.0,5.0,21:30:00,70,22:00:00,78,5:00-6:00,300.0,3.5,3.5,6:00-7:30,7:30:00,60,11:00:00,40.0,12:30-14:00,14:30-16:00,,800.0,0.15,400,0.902
296,45.0,300,,405.0,700,23:00:00,24.0,,,0:30:00,100,1:30:00,102,0.2,2:30:00,104.0,3:30:00,104.0,0.2,300,6:30-7:00,50.0,9.0,5.0,7:00:00,70,7:30:00,78,15:30-16:30,310.0,3.5,3.5,16:30-17:30,17:30:00,60,19:30:00,40.0,21:00-22:30,23:00-0:30,,800.0,0.15,400,0.902
686,47.0,300,,405.0,700,18:00:00,21.0,,,19:00:00,100,20:00:00,102,0.2,21:00:00,103.0,22:00:00,103.0,0.2,300,0:30-1:00,40.0,9.0,5.0,1:00:00,70,1:30:00,78,10:00-11:00,300.0,3.5,3.5,11:00-12:30,12:30:00,60,16:00:00,40.0,16:00-17:30,18:00-19:30,,800.0,0.15,420,0.935
