,name,score
0,样本id/样本id_cut_intTarget_0.0_mean,0.011556918
1,样本id/样本id_cut_intTarget_4.0_mean,0.01009346
2,样本id/样本id_cut_intTarget_3.0_mean,0.009999246
3,样本id/B7_intTarget_4.0_mean,0.009251815
4,样本id/B14_to_A5_intTarget_0.0_mean,0.00901314
5,样本id/B7_hnew_B5_hnew_B6chengji_intTarget_4.0_mean,0.008623722
6,样本id/样本id_cut_intTarget_1.0_mean,0.008422732
7,样本id*样本id_cut_intTarget_0.0_mean,0.0072356355
8,样本id/A10_intTarget_0.0_mean,0.0067959703
9,样本id*样本id_cut_intTarget_1.0_mean,0.006733161
10,样本id*样本id_cut_intTarget_2.0_mean,0.0066075423
11,样本id*B14_to_A5_intTarget_0.0_mean,0.0064944853
12,样本id/A25_intTarget_0.0_mean,0.0061992817
13,样本id/A5_intTarget_0.0_mean,0.0061992817
14,样本id*样本id_cut_intTarget_3.0_mean,0.0058349874
15,样本id/样本id_cut_intTarget_2.0_mean,0.0057847397
16,样本id*A10_intTarget_0.0_mean,0.0055586263
17,样本id*B7_intTarget_4.0_mean,0.0050373087
18,样本id/A6_intTarget_0.0_mean,0.004811195
19,样本id/A5_intTarget_1.0_mean,0.004603924
20,样本id/b14/a1_a3_a4_a19_b1_b12,0.0045976434
21,样本id*A5_intTarget_0.0_mean,0.0043024397
22,样本id/B5_intTarget_0.0_mean,0.0042835968
23,样本id*B5_intTarget_0.0_mean,0.0042082253
24,样本id/B7_hnew_B5_hnew_B6chengji_intTarget_3.0_mean,0.0042019445
25,样本id/B7_intTarget_0.0_mean,0.00396955
26,样本id*A6_intTarget_0.0_mean,0.0038062457
27,样本id/B7_hnew_B5_hnew_B6chengji_intTarget_0.0_mean,0.003598975
28,样本id*A25_intTarget_0.0_mean,0.003592694
29,样本id/B7_intTarget_1.0_mean,0.0034796372
30,样本id*B7_intTarget_0.0_mean,0.0034293898
31,样本id*B7_hnew_B5_hnew_B6chengji_intTarget_4.0_mean,0.0034168279
32,样本id/B7_hnew_B5_hnew_B6chengji_intTarget_1.0_mean,0.0033979851
33,样本id/A20_2_A20_1_A17chengji_intTarget_1.0_mean,0.0033602994
34,样本id*A20_2_A20_1_A17chengji_intTarget_1.0_mean,0.0032849282
35,样本id/A5_intTarget_2.0_mean,0.0032221188
36,b14/a1_a3_a4_a19_b1_b12/A25_intTarget_0.0_mean,0.003109062
37,样本id/yb_cut_mean_intTarget_4.0_mean,0.0030839385
38,样本id*b14/a1_a3_a4_a19_b1_b12,0.0030085673
39,样本id*A5_intTarget_2.0_mean,0.002945758
40,样本id*B7_hnew_B5_hnew_B6chengji_intTarget_2.0_mean,0.0028955103
41,样本id*A27_intTarget_1.0_mean,0.0028452629
42,样本id*A5_intTarget_1.0_mean,0.0027636108
43,样本id/A10_intTarget_1.0_mean,0.0027259253
44,样本id*A10_intTarget_1.0_mean,0.0027259253
45,样本id*A6_intTarget_1.0_mean,0.0026128683
46,样本id,0.0025877447
47,样本id/B5_intTarget_1.0_mean,0.0025689017
48,样本id/B7_hnew_B5_hnew_B6chengji_intTarget_2.0_mean,0.0025249354
49,B14_to_B7_intTarget_4.0_mean,0.0024809688
50,样本id/A27_intTarget_1.0_mean,0.002455845
51,样本id*B7_hnew_B5_hnew_B6chengji_intTarget_0.0_mean,0.0024181595
52,样本id_cut_intTarget_0.0_mean/B7_intTarget_4.0_mean,0.0024055976
53,样本id*A12_intTarget_0.0_mean,0.0023993165
54,样本id*A15_intTarget_0.0_mean,0.0023993165
55,样本id*样本id_cut_intTarget_4.0_mean,0.002374193
56,样本id_cut_intTarget_2.0_mean/B7_intTarget_4.0_mean,0.002374193
57,样本id/yb_cut_mean_intTarget_0.0_mean,0.0022360124
58,样本id*A17_intTarget_1.0_mean,0.0022171696
59,样本id*B7_hnew_B5_hnew_B6chengji_intTarget_3.0_mean,0.0021606411
60,样本id*B7_intTarget_1.0_mean,0.0021417984
61,样本id/A6_intTarget_1.0_mean,0.0021417984
62,样本id/yb_cut_mean_intTarget_3.0_mean,0.0020664271
63,样本id_cut_intTarget_2.0_mean/B14_to_A5_intTarget_0.0_mean,0.0020161797
64,样本id_cut_intTarget_1.0_mean/B7_intTarget_4.0_mean,0.0020098987
65,样本id_cut_intTarget_1.0_mean*A10_intTarget_0.0_mean,0.0020098987
66,样本id/A27_intTarget_0.0_mean,0.0020098987
67,样本id/A12_intTarget_0.0_mean,0.0019533704
68,样本id*B5_intTarget_1.0_mean,0.0019282466
69,样本id_cut_intTarget_2.0_mean/B5_intTarget_0.0_mean,0.0018968419
70,样本id/A15_intTarget_0.0_mean,0.0018779992
71,样本id/B6_intTarget_0.0_mean,0.0018089089
72,样本id*A27_intTarget_0.0_mean,0.001796347
73,b14/a1_a3_a4_a19_b1_b12*A10_intTarget_1.0_mean,0.0017900661
74,样本id_cut_intTarget_1.0_mean/B5_intTarget_0.0_mean,0.001702133
75,样本id_cut_intTarget_2.0_mean/A5_intTarget_0.0_mean,0.0016644474
76,样本id/A17_intTarget_1.0_mean,0.0016581665
77,样本id_cut_intTarget_2.0_mean/A6_intTarget_0.0_mean,0.0016393237
78,A10_intTarget_0.0_mean/b14/a1_a3_a4_a19_b1_b12,0.0015890762
79,样本id_cut_intTarget_4.0_mean/B7_intTarget_4.0_mean,0.0015890762
80,b14/a1_a3_a4_a19_b1_b12/B14_to_A5_intTarget_0.0_mean,0.0015765143
81,样本id*B7_hnew_B5_hnew_B6chengji_intTarget_1.0_mean,0.0015513906
82,样本id_cut_intTarget_1.0_mean*B7_intTarget_4.0_mean,0.001513705
83,B7_intTarget_4.0_mean/yb_cut_mean_intTarget_0.0_mean,0.001507424
84,样本id*A12_intTarget_1.0_mean,0.0015011431
85,样本id_cut_intTarget_2.0_mean/A25_intTarget_0.0_mean,0.0015011431
86,样本id_cut_intTarget_2.0_mean/B7_intTarget_0.0_mean,0.0014508957
87,样本id_cut_intTarget_1.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_0.0_mean,0.0014446147
88,样本id_cut_intTarget_1.0_mean/A5_intTarget_1.0_mean,0.0014383338
89,样本id_cut_intTarget_1.0_mean/A5_intTarget_0.0_mean,0.0014320528
90,样本id_cut_intTarget_2.0_mean/A10_intTarget_0.0_mean,0.001425772
91,A5_intTarget_0.0_mean/yb_cut_mean_intTarget_3.0_mean,0.001425772
92,b14/a1_a3_a4_a19_b1_b12*A25_intTarget_0.0_mean,0.0013880864
93,A6_intTarget_0.0_mean/B7_intTarget_4.0_mean,0.0013818054
94,A10_intTarget_0.0_mean/B7_intTarget_4.0_mean,0.0013755244
95,样本id*yb_cut_mean_intTarget_2.0_mean,0.0013692435
96,样本id*B6_intTarget_0.0_mean,0.0013692435
97,b14/a1_a3_a4_a19_b1_b12*A6_intTarget_1.0_mean,0.0013629626
98,b14/a1_a3_a4_a19_b1_b12*A6_intTarget_0.0_mean,0.0013504007
99,样本id/A12_intTarget_1.0_mean,0.0013504007
100,A25_intTarget_0.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_2.0_mean,0.0013504007
101,样本id_cut_intTarget_1.0_mean*A6_intTarget_0.0_mean,0.0013504007
102,A6_intTarget_0.0_mean/yb_cut_mean_intTarget_0.0_mean,0.0013441198
103,样本id_cut_intTarget_1.0_mean/A20_2_A20_1_A17chengji_intTarget_1.0_mean,0.0013378388
104,样本id_cut_intTarget_1.0_mean*B14_to_A5_intTarget_0.0_mean,0.0013127151
105,样本id_cut_intTarget_0.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_4.0_mean,0.0013064342
106,样本id_cut_intTarget_2.0_mean*A10_intTarget_0.0_mean,0.0013001532
107,b14/a1_a3_a4_a19_b1_b12*B7_intTarget_1.0_mean,0.0013001532
108,A5_intTarget_1.0_mean/A20_2_A20_1_A17chengji_intTarget_1.0_mean,0.0012938724
109,B14_to_A5_intTarget_0.0_mean*A6_intTarget_0.0_mean,0.0012813105
110,样本id_cut_intTarget_1.0_mean/B7_intTarget_0.0_mean,0.0012813105
111,样本id_cut_intTarget_1.0_mean*B5_intTarget_0.0_mean,0.0012750295
112,B14_to_A5_intTarget_0.0_mean/yb_cut_mean_intTarget_0.0_mean,0.0012750295
113,样本id/yb_cut_mean_intTarget_1.0_mean,0.0012687485
114,b14/a1_a3_a4_a19_b1_b12*B14_to_A5_intTarget_0.0_mean,0.0012687485
115,样本id*yb_cut_mean_intTarget_0.0_mean,0.0012687485
116,样本id_cut_intTarget_2.0_mean*B7_intTarget_4.0_mean,0.0012624677
117,b14/a1_a3_a4_a19_b1_b12*A15_intTarget_1.0_mean,0.0012624677
118,A6_intTarget_0.0_mean/A12_intTarget_1.0_mean,0.0012499058
119,样本id_cut_intTarget_1.0_mean*A5_intTarget_0.0_mean,0.0012373439
120,样本id_cut_intTarget_0.0_mean/A6_intTarget_0.0_mean,0.0012373439
121,b14/a1_a3_a4_a19_b1_b12*A12_intTarget_1.0_mean,0.0012373439
122,样本id_cut_intTarget_1.0_mean/A10_intTarget_0.0_mean,0.0012247821
123,样本id_cut_intTarget_0.0_mean/A5_intTarget_0.0_mean,0.0012185011
124,样本id_cut_intTarget_1.0_mean/A12_intTarget_1.0_mean,0.0012059392
125,样本id_cut_intTarget_1.0_mean/A6_intTarget_0.0_mean,0.0011996583
126,B14_to_A5_intTarget_0.0_mean/yb_cut_mean_intTarget_4.0_mean,0.0011996583
127,b14/a1_a3_a4_a19_b1_b12/A17_intTarget_1.0_mean,0.0011933774
128,样本id*yb_cut_mean_intTarget_3.0_mean,0.0011870965
129,样本id_cut_intTarget_1.0_mean/A25_intTarget_0.0_mean,0.0011745346
130,样本id_cut_intTarget_0.0_mean/B5_intTarget_0.0_mean,0.0011682536
131,A6_intTarget_0.0_mean/yb_cut_mean_intTarget_3.0_mean,0.0011619728
132,A25_intTarget_0.0_mean/A5_intTarget_2.0_mean,0.0011619728
133,b14/a1_a3_a4_a19_b1_b12/A20_2_A20_1_A17chengji_intTarget_1.0_mean,0.0011619728
134,样本id_cut_intTarget_1.0_mean*样本id_cut_intTarget_2.0_mean,0.0011556918
135,样本id_cut_intTarget_3.0_mean/B7_intTarget_4.0_mean,0.0011556918
136,样本id_cut_intTarget_1.0_mean/A5_intTarget_2.0_mean,0.0011494108
137,A6_intTarget_0.0_mean/B5_intTarget_0.0_mean,0.0011431299
138,样本id_cut_intTarget_2.0_mean/A5_intTarget_1.0_mean,0.0011305681
139,A6_intTarget_0.0_mean/A17_intTarget_1.0_mean,0.0011180062
140,A6_intTarget_1.0_mean/A5_intTarget_1.0_mean,0.0010991634
141,A6_intTarget_0.0_mean/A20_2_A20_1_A17chengji_intTarget_1.0_mean,0.0010991634
142,样本id/yb_cut_mean_intTarget_2.0_mean,0.0010928825
143,样本id_cut_intTarget_2.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_4.0_mean,0.0010866015
144,A12_intTarget_0.0_mean/A15_intTarget_0.0_mean,0.0010866015
145,A10_intTarget_0.0_mean/A5_intTarget_0.0_mean,0.0010740396
146,样本id_cut_intTarget_3.0_mean/A5_intTarget_0.0_mean,0.0010677587
147,B14_to_A5_intTarget_0.0_mean/A5_intTarget_2.0_mean,0.0010614778
148,B5_intTarget_0.0_mean/yb_cut_mean_intTarget_0.0_mean,0.0010551969
149,A25_intTarget_0.0_mean/A5_intTarget_1.0_mean,0.0010489159
150,样本id_cut_intTarget_1.0_mean/B14_to_A5_intTarget_0.0_mean,0.001042635
151,A6_intTarget_0.0_mean/A15_intTarget_0.0_mean,0.001042635
152,B7_hnew_B5_hnew_B6chengji_intTarget_4.0_mean/yb_cut_mean_intTarget_0.0_mean,0.001042635
153,B14_to_A5_intTarget_0.0_mean/B7_intTarget_4.0_mean,0.001042635
154,B14_to_A5_intTarget_0.0_mean/B7_intTarget_1.0_mean,0.001036354
155,B14_to_A5_intTarget_0.0_mean/A25_intTarget_0.0_mean,0.001036354
156,A6_intTarget_0.0_mean/A5_intTarget_0.0_mean,0.0010300732
157,B14_to_A5_intTarget_0.0_mean/A5_intTarget_0.0_mean,0.0010300732
158,A10_intTarget_0.0_mean/B5_intTarget_0.0_mean,0.0010237922
159,样本id_cut_intTarget_2.0_mean*B5_intTarget_0.0_mean,0.0010175112
160,样本id*A15_intTarget_1.0_mean,0.0010175112
161,样本id_cut_intTarget_0.0_mean*B14_to_A5_intTarget_0.0_mean,0.0010175112
162,A10_intTarget_1.0_mean/A5_intTarget_2.0_mean,0.0010175112
