,B14_to_A5_intTarget_0.0_mean*yb_cut_mean_intTarget_4.0_mean,B7_intTarget_1.0_mean*B7_hnew_B5_hnew_B6chengji_intTarget_1.0_mean,B14_to_A5_intTarget_0.0_mean/A15_intTarget_0.0_mean,A25_intTarget_0.0_mean/yb_cut_mean_intTarget_0.0_mean,B14_to_A5_intTarget_0.0_mean*A5_intTarget_2.0_mean,B11_1_B10_2_intTarget_4.0_mean,A20_1_A16_hnew_A17chengji_intTarget_0.0_mean,B14_to_A5_intTarget_0.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_1.0_mean,A5_intTarget_0.0_mean*A27_intTarget_1.0_mean,A24_intTarget_1.0_mean,A25_intTarget_0.0_mean*B7_intTarget_1.0_mean,A25_intTarget_0.0_mean/B5_intTarget_1.0_mean,样本id*A15_intTarget_1.0_mean,A12_intTarget_0.0_mean/A27_intTarget_1.0_mean,A25_intTarget_0.0_mean/B5_intTarget_0.0_mean,样本id_cut_intTarget_3.0_mean/B7_intTarget_0.0_mean,B14_to_A5_intTarget_0.0_mean/A25_intTarget_0.0_mean,B14_to_A5_intTarget_0.0_mean/A5_intTarget_0.0_mean,A25_intTarget_0.0_mean/A5_intTarget_2.0_mean,样本id_cut_intTarget_1.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_4.0_mean,A6_intTarget_1.0_mean/A5_intTarget_1.0_mean,B14_to_B7_intTarget_4.0_mean,样本id/B5_intTarget_1.0_mean,样本id*A10_intTarget_1.0_mean,样本id*A5_intTarget_1.0_mean,样本id*b14/a1_a3_a4_a19_b1_b12,b14/a1_a3_a4_a19_b1_b12/A25_intTarget_0.0_mean,wendu_mean,样本id/yb_cut_mean_intTarget_4.0_mean,样本id/B7_hnew_B5_hnew_B6chengji_intTarget_1.0_mean,样本id*B7_intTarget_0.0_mean,样本id/b14/a1_a3_a4_a19_b1_b12,样本id/A5_intTarget_1.0_mean,样本id*B14_to_A5_intTarget_0.0_mean,样本id/B14_to_A5_intTarget_0.0_mean,样本id/样本id_cut_intTarget_4.0_mean,样本id/样本id_cut_intTarget_3.0_mean,样本id/样本id_cut_intTarget_0.0_mean,target
0,0.024,0.014,1.593,0.783,0.122,0.049,0.222,6.857,0.087,0.455,0.043,0.739,421.342,0.583,1.109,0.75,2.19,1.0,0.304,4.0,0.737,0.0,8658.667,415.654,436.571,214.081,1.074,75.222,18336.0,36672.0,169.778,10906.1,5348.0,436.571,5348.0,18336.0,18336.0,9168.0,0.879
1,0.018,0.076,1.732,2.558,0.105,0.073,0.156,0.667,0.035,0.309,0.028,0.505,476.718,0.522,1.322,0.531,1.787,2.185,0.433,4.375,0.949,0.0,5368.676,552.705,522.462,217.344,0.801,76.667,27168.0,3962.0,199.765,13265.625,5518.5,485.143,5943.0,27168.0,27168.0,27168.0,0.902
2,0.0,0.085,1.732,3.038,0.105,0.073,0.156,1.045,0.035,0.309,0.059,0.6,179.401,0.522,1.57,2.274,1.505,2.185,0.514,5.16,0.949,0.0,2020.368,165.152,196.615,81.792,0.674,76.778,-1.0,2337.898,87.825,4992.188,2076.75,182.571,2236.5,-1.0,2044.8,10224.0,0.936
3,0.019,0.098,1.593,2.529,0.0,0.049,0.238,0.835,0.147,0.3,0.048,0.506,133.186,0.603,0.607,0.933,1.695,0.571,-1.0,6.333,1.263,0.0,1449.0,131.388,80.5,71.688,0.88,76.111,7245.0,1411.846,69.0,3254.213,2898.0,138.0,1690.5,7245.0,3622.5,7245.0,0.902
4,0.019,0.075,0.793,1.119,0.046,0.073,0.156,0.478,0.05,0.286,0.044,0.566,173.224,0.522,0.869,1.255,0.818,0.713,0.458,2.359,1.007,0.176,2186.326,200.836,178.893,82.925,0.841,76.667,4319.0,2257.407,105.341,4590.774,2128.02,80.685,4718.235,4319.0,2879.333,4319.0,0.983
5,0.0,0.13,0.793,0.843,0.04,0.049,0.286,0.262,0.052,0.298,0.044,1.096,104.721,0.595,2.192,1.533,0.776,0.602,0.554,-1.0,0.75,0.176,2424.5,101.465,129.739,62.564,0.995,75.889,-1.0,746.0,32.435,2223.79,1072.375,48.777,2852.353,-1.0,2797.5,1865.0,0.935
6,0.0,0.074,1.732,0.879,0.113,0.073,0.156,1.045,0.043,0.28,0.043,0.528,161.994,0.522,1.758,0.0,1.787,1.81,0.405,6.005,0.925,0.0,1904.1,187.815,182.211,73.856,0.801,76.667,-1.0,2111.06,96.167,4507.812,1827.167,164.857,2019.5,-1.0,-1.0,3173.5,0.902
7,0.013,0.083,1.593,0.532,0.118,0.073,0.156,1.045,0.038,0.298,0.044,0.479,58.458,0.655,1.012,1.931,1.968,2.023,0.352,3.002,0.97,0.0,699.027,69.007,63.836,27.136,0.882,76.222,4664.0,775.641,29.939,1656.25,704.049,60.571,742.0,-1.0,777.333,777.333,0.891
8,0.012,0.049,0.785,0.927,0.029,0.049,0.186,0.883,0.033,0.4,0.056,0.843,149.546,0.718,0.843,0.0,0.776,1.177,0.759,4.909,0.66,0.176,2605.0,141.725,231.556,76.914,0.876,74.111,5731.0,3516.75,173.667,3529.155,1172.25,68.131,3984.118,5731.0,-1.0,2865.5,0.947
9,0.044,0.321,1.593,0.548,0.13,0.049,0.186,0.381,0.054,0.286,0.072,0.393,282.917,0.603,-1.0,-1.0,1.695,1.571,0.371,-1.0,0.921,0.0,2394.0,279.097,326.455,152.849,0.884,74.778,6669.0,1368.0,0.0,6887.025,3224.571,293.143,3591.0,6669.0,13338.0,3334.5,0.902
10,0.0,0.088,1.732,0.726,0.105,0.073,0.156,1.013,0.035,0.309,0.045,0.459,489.352,0.522,1.2,0.0,1.968,2.185,0.393,2.167,0.949,0.0,5510.956,567.352,536.308,223.104,0.882,76.444,-1.0,6179.727,239.559,13617.188,5664.75,498.0,6100.5,-1.0,-1.0,8715.0,0.936
11,0.0,0.038,1.732,0.489,0.132,0.049,1.0,1.714,0.058,0.0,0.03,0.391,419.164,0.583,0.47,0.0,2.19,1.496,0.283,-1.0,0.586,0.0,4479.0,406.133,318.73,208.447,1.07,73.444,-1.0,8958.0,344.538,10693.612,6993.526,426.571,5225.5,-1.0,-1.0,5598.75,0.891
12,0.041,0.011,1.593,0.787,0.13,0.049,0.186,6.857,0.054,0.357,0.047,0.731,444.781,0.718,2.192,0.414,1.695,1.571,0.371,5.143,0.524,0.0,6989.667,438.776,513.227,225.201,0.828,76.111,11291.0,38712.0,278.103,11553.112,5069.429,460.857,5645.5,11291.0,22582.0,7527.333,0.891
