,0
0,B9_1:00-5:00
1,B9_17:00-18:30
2,B7_17:00:00
3,A28_5:00-6:00
4,A28_4:00-5:00
5,A26_13:00:00
6,A24_12:00:00
7,A20_2:00-3:00
8,A14_1:00:00
9,A11_17:00:00
10,A9_23:00:00
11,A9_0:00:00
12,A5_14:00:00
13,b14/a1_a3_a4_a19_b1_b12
14,wendu_mean
15,样本id/B14_to_A5_intTarget_0.0_mean
16,样本id*B14_to_A5_intTarget_0.0_mean
17,样本id/b14/a1_a3_a4_a19_b1_b12
18,样本id*A25_intTarget_0.0_mean
19,b14/a1_a3_a4_a19_b1_b12/A25_intTarget_0.0_mean
20,样本id*A6_intTarget_1.0_mean
21,样本id
22,B14_to_B7_intTarget_4.0_mean
23,b14/a1_a3_a4_a19_b1_b12/B14_to_A5_intTarget_0.0_mean
24,b14/a1_a3_a4_a19_b1_b12*B14_to_A5_intTarget_0.0_mean
25,样本id/yb_cut_mean_intTarget_2.0_mean
26,样本id_cut_intTarget_3.0_mean/A5_intTarget_0.0_mean
27,A25_intTarget_0.0_mean/A5_intTarget_1.0_mean
28,A24_intTarget_1.0_mean
29,B14_to_A5_intTarget_0.0_mean/yb_cut_mean_intTarget_3.0_mean
30,B14_to_A5_intTarget_0.0_mean/yb_cut_mean_intTarget_2.0_mean
31,A27_intTarget_1.0_mean/B5_intTarget_1.0_mean
32,A5_intTarget_0.0_mean/yb_cut_mean_intTarget_4.0_mean
33,B5_intTarget_0.0_mean/A12_intTarget_1.0_mean
34,B14_to_A5_intTarget_0.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_1.0_mean
35,A25_intTarget_0.0_mean*A5_intTarget_1.0_mean
36,B11_1_B10_2_intTarget_0.0_mean
37,样本id_cut_intTarget_4.0_mean*A25_intTarget_0.0_mean
38,B7_hnew_B5_hnew_B6chengji_intTarget_4.0_mean/B7_intTarget_1.0_mean
39,b14/a1_a3_a4_a19_b1_b12/yb_cut_mean_intTarget_0.0_mean
40,B11_1_B10_2_intTarget_1.0_mean
41,样本id_cut_intTarget_2.0_mean/样本id_cut_intTarget_3.0_mean
42,B10_1_B9_2_B8chengji_intTarget_3.0_mean
43,A20_1_A16_hnew_intTarget_0.0_mean
44,样本id_cut_intTarget_1.0_mean/b14/a1_a3_a4_a19_b1_b12
45,B11_2_B11_1_B8chengji_intTarget_1.0_mean
46,样本id_cut_intTarget_3.0_mean*A5_intTarget_2.0_mean
47,B7_hnew_B5_hnew_B6chengji_intTarget_4.0_mean/B5_intTarget_1.0_mean
48,B11_1_B10_2_B8chengji_intTarget_4.0_mean
49,样本id_cut_intTarget_1.0_mean*yb_cut_mean_intTarget_4.0_mean
50,B5_intTarget_0.0_mean*A15_intTarget_1.0_mean
51,样本id_cut_intTarget_4.0_mean/A27_intTarget_0.0_mean
52,A28_2_A28_1_A27chengji_8
53,A7_intTarget_4.0_mean
54,B14_to_B4_2_B4_1_B1chengji_intTarget_0.0_mean
55,B8_3
56,A7_hnew_A5_hnew_intTarget_4.0_mean
57,A7_hnew_A5_hnew_intTarget_1.0_mean
58,A20_1
59,A21_3
60,B4_2
