,feature_names
0,B4_2_B4_1_2
1,A8_0
2,B14_to_A14_hnew_A11_hnew_A12chengji_intTarget_1.0_mean
3,A9_hnew_A7_hnew_A8chengji_intTarget_3.0_mean
4,B4_2
5,A21_3
6,A20_1
7,A7_hnew_A5_hnew_intTarget_1.0_mean
8,A12_intTarget_0.0_mean/A12_intTarget_1.0_mean
9,A7_hnew_A5_hnew_intTarget_4.0_mean
10,B8_3
11,B14_to_B4_2_B4_1_B1chengji_intTarget_0.0_mean
12,A7_intTarget_4.0_mean
13,B10_1_B9_2_B8chengji_0
14,A28_2_A28_1_A27chengji_8
15,样本id_cut_intTarget_4.0_mean/A27_intTarget_0.0_mean
16,B5_intTarget_0.0_mean*A15_intTarget_1.0_mean
17,B14_to_样本id_cut_intTarget_1.0_mean
18,样本id_cut_intTarget_1.0_mean*yb_cut_mean_intTarget_4.0_mean
19,B11_1_B10_2_B8chengji_intTarget_4.0_mean
20,B7_hnew_B5_hnew_B6chengji_intTarget_4.0_mean/B5_intTarget_1.0_mean
21,样本id_cut_intTarget_3.0_mean*A5_intTarget_2.0_mean
22,B11_2_B11_1_B8chengji_intTarget_1.0_mean
23,样本id_cut_intTarget_1.0_mean/b14/a1_a3_a4_a19_b1_b12
24,A20_1_A16_hnew_intTarget_0.0_mean
25,B10_1_B9_2_B8chengji_intTarget_3.0_mean
26,B10_2_B10_1_B8chengji_intTarget_4.0_mean
27,样本id_cut_intTarget_2.0_mean/样本id_cut_intTarget_3.0_mean
28,B11_1_B10_2_intTarget_1.0_mean
29,A6_intTarget_2.0_mean
30,b14/a1_a3_a4_a19_b1_b12/yb_cut_mean_intTarget_0.0_mean
31,B7_hnew_B5_hnew_B6chengji_intTarget_4.0_mean/B7_intTarget_1.0_mean
32,样本id_cut_intTarget_4.0_mean*A25_intTarget_0.0_mean
33,B11_1_B10_2_intTarget_0.0_mean
34,A25_intTarget_0.0_mean*A5_intTarget_1.0_mean
35,B14_to_A5_intTarget_0.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_1.0_mean
36,B5_intTarget_0.0_mean/A12_intTarget_1.0_mean
37,A5_intTarget_0.0_mean/yb_cut_mean_intTarget_4.0_mean
38,A27_intTarget_1.0_mean/B5_intTarget_1.0_mean
39,B14_to_A5_intTarget_0.0_mean/yb_cut_mean_intTarget_2.0_mean
40,B14_to_A5_intTarget_0.0_mean/yb_cut_mean_intTarget_3.0_mean
41,A24_intTarget_1.0_mean
42,A25_intTarget_0.0_mean/A5_intTarget_1.0_mean
43,样本id_cut_intTarget_3.0_mean/A5_intTarget_0.0_mean
44,样本id/yb_cut_mean_intTarget_2.0_mean
45,b14/a1_a3_a4_a19_b1_b12*A15_intTarget_1.0_mean
46,b14/a1_a3_a4_a19_b1_b12*B14_to_A5_intTarget_0.0_mean
47,b14/a1_a3_a4_a19_b1_b12/B14_to_A5_intTarget_0.0_mean
48,B14_to_B7_intTarget_4.0_mean
49,样本id
50,样本id*A6_intTarget_1.0_mean
51,b14/a1_a3_a4_a19_b1_b12/A25_intTarget_0.0_mean
52,样本id*A25_intTarget_0.0_mean
53,样本id/b14/a1_a3_a4_a19_b1_b12
54,样本id*B14_to_A5_intTarget_0.0_mean
55,样本id*样本id_cut_intTarget_1.0_mean
56,样本id/B14_to_A5_intTarget_0.0_mean
57,wendu_mean
58,b14/a1_a3_a4_a19_b1_b12
59,A5_14:00:00
60,A9_0:00:00
61,A9_23:00:00
62,A11_17:00:00
63,A14_1:00:00
64,A20_2:00-3:00
65,A24_12:00:00
66,A26_13:00:00
67,A28_4:00-5:00
68,A28_5:00-6:00
69,B7_17:00:00
70,B9_17:00-18:30
71,B9_1:00-5:00
